iter	Logloss
0	0.6868667123
1	0.6817376195
2	0.6768296705
3	0.6696327348
4	0.6643702676
5	0.659947505
6	0.6554325771
7	0.6512869827
8	0.6469318312
9	0.6406368522
10	0.6367626836
11	0.6323255772
12	0.6273015405
13	0.6229647621
14	0.6185883327
15	0.6149730954
16	0.6098117002
17	0.6068164687
18	0.603956356
19	0.600287768
20	0.5971220058
21	0.5930599567
22	0.5903162332
23	0.5878115264
24	0.5849488979
25	0.5817637322
26	0.5792875618
27	0.57539099
28	0.5736764599
29	0.5703136834
30	0.5674093462
31	0.5641415075
32	0.5613825231
33	0.5584197926
34	0.5556962996
35	0.5534966952
36	0.5514193377
37	0.5489476409
38	0.546222161
39	0.5441547403
40	0.5412802332
41	0.5394402458
42	0.5373400579
43	0.5356387569
44	0.5331267238
45	0.5312021957
46	0.5284141691
47	0.5261217393
48	0.523988839
49	0.5224111727
50	0.5202816892
51	0.5181367906
52	0.5157647013
53	0.5134894488
54	0.511942249
55	0.5105104184
56	0.5086972093
57	0.5073914342
58	0.5053299216
59	0.5038844296
60	0.5022297242
61	0.5004878653
62	0.4990637421
63	0.4978118086
64	0.4966820054
65	0.4956486208
66	0.4942910177
67	0.4922651113
68	0.4911975852
69	0.4901093892
70	0.4888226084
71	0.4873470727
72	0.4853754345
73	0.484325679
74	0.4829210185
75	0.4815994307
76	0.4792914827
77	0.4779927288
78	0.4763128225
79	0.474763477
80	0.4726592625
81	0.471175321
82	0.4700962146
83	0.4686138284
84	0.4676975645
85	0.4661993656
86	0.4650674322
87	0.4640224787
88	0.4630326054
89	0.4620315435
90	0.4606838689
91	0.458988326
92	0.4567048355
93	0.4545105573
94	0.4531282237
95	0.4516707418
96	0.4506216255
97	0.4496058768
98	0.4485212468
99	0.4467257536
