iter	Passed	Remaining
0	3	358
1	8	398
2	10	330
3	13	333
4	21	411
5	25	405
6	32	428
7	34	402
8	41	417
9	48	432
10	53	432
11	58	428
12	60	405
13	66	406
14	68	390
15	74	390
16	78	380
17	81	372
18	87	374
19	94	376
20	98	371
21	101	359
22	105	352
23	109	347
24	113	341
25	116	330
26	122	331
27	126	325
28	131	323
29	139	325
30	162	360
31	166	354
32	170	346
33	175	341
34	179	334
35	187	333
36	191	325
37	196	320
38	198	309
39	203	305
40	204	294
41	206	284
42	211	279
43	214	272
44	217	265
45	221	260
46	226	255
47	231	250
48	234	244
49	237	237
50	241	231
51	245	226
52	249	221
53	252	215
54	256	209
55	260	204
56	265	200
57	269	194
58	274	190
59	276	184
60	280	179
61	283	173
62	285	167
63	289	162
64	291	156
65	293	151
66	296	146
67	300	141
68	304	136
69	307	131
70	310	126
71	313	121
72	317	117
73	319	112
74	322	107
75	325	102
76	328	98
77	348	98
78	351	93
79	355	88
80	358	84
81	361	79
82	366	74
83	369	70
84	372	65
85	374	60
86	377	56
87	381	51
88	384	47
89	386	42
90	389	38
91	397	34
92	400	30
93	402	25
94	406	21
95	409	17
96	414	12
97	418	8
98	422	4
99	426	0
